pattern,description,example
～か～ないかのうちに,while deciding whether to do something or not; as soon as,行くか行かないかのうちに、電話が鳴った。
～をはじめ（として）,starting with; including,日本をはじめとして、アジア諸国で人気がある。
～に関して,regarding; concerning; with regard to,この件に関して、詳しく説明します。
～によると,according to,天気予報によると、明日は雨だそうです。
～に反して,contrary to; against,予想に反して、試験は簡単だった。
～にしては,for; considering that,子供にしては、よく勉強する。
～をめぐって,concerning; regarding; over (an issue),環境問題をめぐって議論が続いている。
～に先立って,prior to; before,会議に先立って資料を配布します。
～を通じて,through; via; throughout,インターネットを通じて情報を得る。
～に際して,on the occasion of; when,卒業に際してお祝いの言葉をいただいた。
～にもかかわらず,despite; in spite of,雨にもかかわらず、多くの人が参加した。
～に基づいて,based on; according to,データに基づいて判断する。
～を契機に,taking the opportunity of; triggered by,この事件を契機に制度が変わった。
～に伴って,along with; in proportion to,経済発展に伴って生活が向上した。
～においては,in; at; in terms of,この分野においては彼が専門家だ。
