term,reading,meaning_en,meaning_vi,example_jp,section
幸福,こうふく,happiness; good fortune,hạnh phúc; may mắn,家族と過ごす時間が私の幸福です。,word
複雑,ふくざつ,complex; complicated,phức tạp,この問題は非常に複雑だ。,word
著名,ちょめい,famous; well-known,nổi tiếng; có danh tiếng,彼は著名な作家です。,word
継続,けいぞく,continuation; continuance,tiếp tục; duy trì,努力の継続が成功の鍵だ。,word
優秀,ゆうしゅう,excellent; outstanding,xuất sắc; ưu tú,彼女は優秀な学生です。,word
曖昧,あいまい,vague; ambiguous,mơ hồ; không rõ ràng,彼の説明は曖昧すぎる。,word
憂鬱,ゆううつ,depression; melancholy,u sầu; trầm cảm,雨の日は憂鬱な気分になる。,word
偶然,ぐうぜん,coincidence; accident,tình cờ; ngẫu nhiên,偶然彼に会った。,word
柔軟,じゅうなん,flexible; adaptable,linh hoạt; dẻo dai,柔軟な思考が重要だ。,word
独創,どくそう,originality; creativity,độc đáo; sáng tạo,独創的なアイデアを提案した。,word
迅速,じんそく,swift; rapid,nhanh chóng; khẩn trương,迅速な対応をお願いします。,word
緻密,ちみつ,precise; meticulous,chính xác; tỉ mỉ,緻密な計画を立てる。,word
潜在,せんざい,potential; latent,tiềm ẩn; tiềm tàng,潜在能力を発揮する。,word
顕著,けんちょ,remarkable; prominent,rõ rệt; nổi bật,顕著な改善が見られる。,word
従来,じゅうらい,conventional; traditional,truyền thống; thông thường,従来の方法では限界がある。,word
